company_name,organization_type,location,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,date_updated,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,SEDOL,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
US Foods Holding Corp.,Corporate,United States of America,Northern America,Food and Staples Retailing,Targets set,Well-below 2°C,2032,,,,,,US Foods Holding Corp. commits to reduce absolute scopes 1 and 2 GHG emissions 32.5% by 2032 from a 2019 base year. US Foods commits that 67% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2027.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,1/26/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor & Decor Holdings,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,small,BYQHP96,4/30/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Ventas,SME,United States of America,Northern America,Real Estate,Targets set,1.5C,2030,,,,,,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Ventas, Inc. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,2/29/24 1:00,United States of America,USA,Financials,No,medium,2927925,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Viatris,Corporate,United States of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,,,,,,"Viatris Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2020 base year*. Viatris Inc. also commits to reduce absolute scope 3 GHG emissions covering purchased goods and services, capital goods, fuel and energy related activities, and upstream transportation and distribution 25% within the same timeframe. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,12/8/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viatris,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,BMWS3X9,2/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Walmart,Corporate,United States of America,Northern America,Food and Staples Retailing,Targets set,1.5C,2030,,,,Commitment removed,,Walmart commits to reduce absolute scopes 1 and 2 GHG emissions 35% by 2025 and 65% by 2030 from a 2015 base year. Walmart will also work to reduce CO2e emissions from upstream and downstream scope 3 sources by one billion tonnes between by 2030 from a 2015 base year.,BA1.5 member,4/22/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,4/22/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,Yes,large,2936921,1/5/24,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Walmart,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,Yes,large,2936921,4/13/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Welltower,SME,United States of America,Northern America,Real Estate,Targets set,Well-below 2°C,2030,,,,,,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Welltower Inc. commits to reduce scope 1 and scope 2 GHG emissions 28% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,9/22/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welltower,,,,,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,BYVYHH4,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
WestRock Company,Corporate,United States of America,Northern America,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,FY2030,,,,,,"WestRock commits to reduce absolute scope 1 and 2 GHG emissions 27.5% by FY2030 from a FY2019 base year*. WestRock also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy activities, upstream and downstream transportation and distribution, and end of life treatment of sold products 27.5% within the same timeframe. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,5/12/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trex Company,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2483074,3/4/24,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Weyerhaeuser,Corporate,United States of America,Northern America,Real Estate,Targets set,1.5C,2030,,,,Commitment removed,,Weyerhaeuser commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2020 base year. Weyerhaeuser also commits to reduce scope 3 GHG emissions 25% per ton of production within the same timeframe. * The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,BA1.5 member,9/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,12/16/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weyerhaeuser,,,,,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2958936,3/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Weyerhaeuser,,,,,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2958936,5/5/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Whirlpool Corporation,Corporate,United States of America,Northern America,"Consumer Durables, Household and Personal Products",Targets set,Well-below 2°C,2030,,,,,,Whirlpool Corporation commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2016 base year. Whirlpool Corporation also commits to reduce absolute scope 3 GHG emissions from use of sold products 20% over the same timeframe,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,6/26/20 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLA Corporation,,,,,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,2480138,4/18/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Williams Sonoma,Corporate,United States of America,Northern America,Retailing,Targets set,1.5C,2030,,,,,,"Williams-Sonoma, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Williams-Sonoma, Inc. also commits to reduce absolute scope 3 GHG emissions 14% over the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,5/20/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams Sonoma,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,small,2967589,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Xylem,Corporate,United States of America,Northern America,Electrical Equipment and Machinery,Targets set,1.5C,2030,,,,Committed,,Xylem Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2023 base year. Xylem Inc. also commits to reduce scope 3 GHG emissions 51.6% per USD value added within the same timeframe. ,BA1.5 member,12/9/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/9/25 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xylem,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,medium,B3P2CN8,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Workday,Corporate,United States of America,Northern America,Software and Services,Targets set,1.5C,FY2030,,,,,,"Workday, Inc. commits to continue annually sourcing 100% renewable electricity through FY2030. Workday, Inc. commits to reduce absolute scope 3 business travel GHG emissions 25% by FY2026 from a FY2020 base year. Workday, Inc. commits that 70% of its suppliers by spend covering purchased goods & services and capital goods will have science-based targets by FY2026.",BA1.5 member,10/22/20 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,3/24/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workday,,,,,,,,,,,,,,,,,,,United States of America,USA,Technology,No,medium,B8K6ZD1,3/5/24,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
